total_coordination,water_coordination,protein_coordination,geometry
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
11,1,10,high_coordination_11
11,1,10,high_coordination_11
11,1,10,high_coordination_11
11,1,10,high_coordination_11
10,1,9,high_coordination_10
11,1,10,high_coordination_11
11,1,10,high_coordination_11
11,1,10,high_coordination_11
10,1,9,high_coordination_10
10,0,10,high_coordination_10
9,0,9,tricapped_trigonal_prismatic
9,0,9,tricapped_trigonal_prismatic
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
9,0,9,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
11,1,10,high_coordination_11
9,0,9,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
9,0,9,tricapped_trigonal_prismatic
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
11,1,10,high_coordination_11
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
9,0,9,tricapped_trigonal_prismatic
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
9,0,9,tricapped_trigonal_prismatic
10,0,10,high_coordination_10
11,1,10,high_coordination_11
10,0,10,high_coordination_10
11,1,10,high_coordination_11
10,0,10,high_coordination_10
10,0,10,high_coordination_10
9,0,9,tricapped_trigonal_prismatic
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,0,10,high_coordination_10
9,0,9,tricapped_trigonal_prismatic
9,0,9,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
11,1,10,high_coordination_11
11,1,10,high_coordination_11
11,1,10,high_coordination_11
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
9,0,9,tricapped_trigonal_prismatic
11,1,10,high_coordination_11
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
9,0,9,tricapped_trigonal_prismatic
10,0,10,high_coordination_10
10,0,10,high_coordination_10
9,0,9,tricapped_trigonal_prismatic
10,0,10,high_coordination_10
9,0,9,tricapped_trigonal_prismatic
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
9,0,9,tricapped_trigonal_prismatic
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
11,1,10,high_coordination_11
10,1,9,high_coordination_10
11,1,10,high_coordination_11
10,1,9,high_coordination_10
10,1,9,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
9,0,9,tricapped_trigonal_prismatic
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,1,9,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
9,0,9,tricapped_trigonal_prismatic
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
11,1,10,high_coordination_11
10,1,9,high_coordination_10
10,0,10,high_coordination_10
10,0,10,high_coordination_10
11,1,10,high_coordination_11
11,1,10,high_coordination_11
10,1,9,high_coordination_10
11,1,10,high_coordination_11
10,0,10,high_coordination_10
10,0,10,high_coordination_10
